name	version	architecture	url	filename	bytes	sha256	depends	pre_depends	license	purpose_ko	import_route
libncursesw6	6.4+20240113-1ubuntu2.2	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/n/ncurses/libncursesw6_6.4%2b20240113-1ubuntu2.2_arm64.deb	libncursesw6_6.4+20240113-1ubuntu2.2_arm64.deb	145566	70c7edddf49520a7d0e620ad7d82da8e4b8c2ba7bd8caf156d5666ea19836e94	libtinfo6 (= 6.4+20240113-1ubuntu2.2), libc6 (>= 2.34)		MIT/X11; BSD-3-Clause; X11	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libpcre2-8-0	10.42-4ubuntu2.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/pcre2/libpcre2-8-0_10.42-4ubuntu2.1_arm64.deb	libpcre2-8-0_10.42-4ubuntu2.1_arm64.deb	211856	7581764969752953aa1f991ce143bea594d2c5d0c36c2cc98c3c614c172aba93	libc6 (>= 2.34)		BSD-3-clause-Cambridge with binary exception; additional notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libpython3-stdlib	3.12.3-0ubuntu2.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3-defaults/libpython3-stdlib_3.12.3-0ubuntu2.1_arm64.deb	libpython3-stdlib_3.12.3-0ubuntu2.1_arm64.deb	10088	b6bd0a5e6fa11f2bae6da48707abe6b8245412cbf34e376cb3b9af0968b7122a	libpython3.12-stdlib (>= 3.12.3-0~)		PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libpython3.12-minimal	3.12.3-1ubuntu0.16	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3.12/libpython3.12-minimal_3.12.3-1ubuntu0.16_arm64.deb	libpython3.12-minimal_3.12.3-1ubuntu0.16_arm64.deb	834914	5bff0e071c258b82b1f4763d55acf2b4b25cc37d7606eddab33c655e4ab620b4	libc6 (>= 2.17), libssl3t64 (>= 3.0.0)		PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libpython3.12-stdlib	3.12.3-1ubuntu0.16	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/p/python3.12/libpython3.12-stdlib_3.12.3-1ubuntu0.16_arm64.deb	libpython3.12-stdlib_3.12.3-1ubuntu0.16_arm64.deb	2039858	81979b11f59fcffc56da824c77178bbdb7468c5b942a09383d581532729bd06d	libpython3.12-minimal (= 3.12.3-1ubuntu0.16), media-types | mime-support, netbase, tzdata, libbz2-1.0, libc6 (>= 2.38), libcrypt1 (>= 1:4.1.0), libdb5.3t64, libffi8 (>= 3.4), liblzma5 (>= 5.1.1alpha+20120614), libncursesw6 (>= 6.1), libreadline8t64 (>= 7.0~beta), libsqlite3-0 (>= 3.36.0), libtinfo6 (>= 6)		PSF-2.0; historical Python and third-party notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libreadline8t64	8.2-4build1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/r/readline/libreadline8t64_8.2-4build1_arm64.deb	libreadline8t64_8.2-4build1_arm64.deb	153046	7f46b2f3ca588cd2f05d2cfb6844017309760b4201105cdfda4b339f9e6c69da	readline-common, libc6 (>= 2.38), libtinfo6 (>= 6)		GPL-3.0-or-later; additional per-file/documentation notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libselinux1	3.5-2ubuntu2.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/libs/libselinux/libselinux1_3.5-2ubuntu2.1_arm64.deb	libselinux1_3.5-2ubuntu2.1_arm64.deb	79946	56630c4f009754e76808bf755072e634f8785a4dfbc8b1445213149e682f1502	libc6 (>= 2.38), libpcre2-8-0 (>= 10.22)		Public-domain (library); GPL-2.0-only (other files)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libsqlite3-0	3.45.1-1ubuntu2.7	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/s/sqlite3/libsqlite3-0_3.45.1-1ubuntu2.7_arm64.deb	libsqlite3-0_3.45.1-1ubuntu2.7_arm64.deb	704734	2633907e89b37ae88fb1b18736b0a7a14feb614382c6297fca91cea4182fbbad	libc6 (>= 2.38)		Public-domain (SQLite); GPL-2.0-or-later (packaging)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libssl3t64	3.0.13-0ubuntu3.15	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/o/openssl/libssl3t64_3.0.13-0ubuntu3.15_arm64.deb	libssl3t64_3.0.13-0ubuntu3.15_arm64.deb	1836826	bf0b51fb18187c4e1b03900e1049dc219047080ff511aa3bf691dbe24e14d24a	libc6 (>= 2.38)		Apache-2.0 (OpenSSL); additional per-file notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libtinfo6	6.4+20240113-1ubuntu2.2	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/n/ncurses/libtinfo6_6.4%2b20240113-1ubuntu2.2_arm64.deb	libtinfo6_6.4+20240113-1ubuntu2.2_arm64.deb	104652	00570dce13bd89b31e4f433001fb0a55436e57a76370afbae6c5ac491b3dd3e9	libc6 (>= 2.34)		MIT/X11; BSD-3-Clause; X11	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
