path	bytes	upstream_lfs_sha256	over_5gb_decimal	url
model-00007-of-00048.safetensors	3568768976	df81bb80e27a689e01fa579eebd6499f86e0b6105f7fea18961aa5eebbbee9bc	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00007-of-00048.safetensors?download=true
model-00008-of-00048.safetensors	3590024776	224968d2b27f8669365ec08657a768dfec40da0585f85f302a31495931f6a526	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00008-of-00048.safetensors?download=true
model-00009-of-00048.safetensors	3568768976	04d69ef1071fff8721c62968c200a5583122b59b015e9ef9b2978bfed271b2b7	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00009-of-00048.safetensors?download=true
model-00010-of-00048.safetensors	3590024776	627145f4ebeb1cc3f5bdd03416b8cb7370b3c96974853cbeb8e5516ad5713e49	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00010-of-00048.safetensors?download=true
model-00011-of-00048.safetensors	3568768976	e4b8e601dcbebe902e0102e7b098b670a121cb8b9564dd719fc41d782c8416e0	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00011-of-00048.safetensors?download=true
model-00012-of-00048.safetensors	3590026352	64ed4e5f6126ba029c462c9d5fca0fc907c5f855b4ba01194d79560f6db16e42	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00012-of-00048.safetensors?download=true
model-00013-of-00048.safetensors	3568770544	8dfe199d07c07ddd141c2c0136a2237f1161250a1a03ebe8deaabac93440da1d	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00013-of-00048.safetensors?download=true
model-00014-of-00048.safetensors	3590026352	45db2f540f825f92453c50335e49aede58cca56bc578d1787c12a0fbca6593e5	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00014-of-00048.safetensors?download=true
model-00015-of-00048.safetensors	3568770544	5810381a0f05b7381c002d299ed6ac19e42eba8070dd17e2703546944d84f292	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00015-of-00048.safetensors?download=true
model-00016-of-00048.safetensors	3590026352	e0530b7024771b0ce2df9b40bcc2232578f3300178487ec216863b0b2835617b	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00016-of-00048.safetensors?download=true
model-00017-of-00048.safetensors	3568770544	ed11130247118b185ade893c0109bad896dd394cb1e066ce4fce044176261d94	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00017-of-00048.safetensors?download=true
model-00018-of-00048.safetensors	3590026352	e393fea96da2a3414ef089354fc32e1c8891954de40958c84d2c2ecf80365b25	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00018-of-00048.safetensors?download=true
model-00019-of-00048.safetensors	3568770544	a74ca4d3e8e82ce20c458bb8b1900110b753793ad4c58d08f38995f719c616f7	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00019-of-00048.safetensors?download=true
model-00020-of-00048.safetensors	3590026352	9f556769926e60309e8defe45ab59fc8b26ae460d30c190cd746a3d78c11e2c2	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00020-of-00048.safetensors?download=true
model-00021-of-00048.safetensors	3568770544	1671cce7f90d781f796b5ca6bf32dd1aeb740abcb2735e41ffd28f62485ce005	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00021-of-00048.safetensors?download=true
model-00022-of-00048.safetensors	3590026352	decd67a4bd97a75fa36861d2ad3067afeefa6a04a20da997fe6c19f171e70132	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00022-of-00048.safetensors?download=true
model-00023-of-00048.safetensors	3568770544	c61a3e179cdbee19bfb8cbc4e111928ce2f1e1f0f4729d7c0cd5634354a4689d	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00023-of-00048.safetensors?download=true
model-00024-of-00048.safetensors	3590026352	fc27aeb4233534f6f7781dcfe57127a3908ae10fc025c5d86dc0682057f8b2fe	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00024-of-00048.safetensors?download=true
model-00025-of-00048.safetensors	3568770544	a66b6b8d5821b68f5b511e4f91e12025cd07d0fa6d0b71e722d825a2d6d878ca	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00025-of-00048.safetensors?download=true
model-00026-of-00048.safetensors	3590026352	657b89314fbaf6eee4acce24b3baf7e5fd2c5986a96ad85b08d90539cde869fe	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00026-of-00048.safetensors?download=true
model-00027-of-00048.safetensors	3568770544	fb01f21a0da0446b0bdf25a127ab19a6b06006acd8735f06a9ebfe34423fd7f5	no	https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731/resolve/7872f01b1d1fe23eabc4c98b48bffcef5a386062/model-00027-of-00048.safetensors?download=true
